product_id,nome,categoria,preco_unitario,unidades_por_caixa
1000,Sardinha 1916 (Timeless),Sardinhas Intemporais,9.0,15
1001,Sardinha 1917 (Timeless),Sardinhas Intemporais,9.0,15
1002,Sardinha 1918 (Timeless),Sardinhas Intemporais,9.0,15
1003,Sardinha 1919 (Timeless),Sardinhas Intemporais,9.0,15
1004,Sardinha 1920 (Timeless),Sardinhas Intemporais,9.0,15
1005,Sardinha 1921 (Timeless),Sardinhas Intemporais,9.0,15
1006,Sardinha 1922 (Timeless),Sardinhas Intemporais,9.0,15
1007,Sardinha 1923 (Timeless),Sardinhas Intemporais,9.0,15
1008,Sardinha 1924 (Timeless),Sardinhas Intemporais,9.0,15
1009,Sardinha 1925 (Timeless),Sardinhas Intemporais,9.0,15
1010,Sardinha 1926 (Timeless),Sardinhas Intemporais,9.0,15
1011,Sardinha 1927 (Timeless),Sardinhas Intemporais,9.0,15
1012,Sardinha 1928 (Timeless),Sardinhas Intemporais,9.0,15
1013,Sardinha 1929 (Timeless),Sardinhas Intemporais,9.0,15
1014,Sardinha 1930 (Timeless),Sardinhas Intemporais,9.0,15
1015,Sardinha 1931 (Timeless),Sardinhas Intemporais,9.0,15
1016,Sardinha 1932 (Timeless),Sardinhas Intemporais,9.0,15
1017,Sardinha 1933 (Timeless),Sardinhas Intemporais,9.0,15
1018,Sardinha 1934 (Timeless),Sardinhas Intemporais,9.0,15
1019,Sardinha 1935 (Timeless),Sardinhas Intemporais,9.0,15
1020,Sardinha 1936 (Timeless),Sardinhas Intemporais,9.0,15
1021,Sardinha 1937 (Timeless),Sardinhas Intemporais,9.0,15
1022,Sardinha 1938 (Timeless),Sardinhas Intemporais,9.0,15
1023,Sardinha 1939 (Timeless),Sardinhas Intemporais,9.0,15
1024,Sardinha 1940 (Timeless),Sardinhas Intemporais,9.0,15
1025,Sardinha 1941 (Timeless),Sardinhas Intemporais,9.0,15
1026,Sardinha 1942 (Timeless),Sardinhas Intemporais,9.0,15
1027,Sardinha 1943 (Timeless),Sardinhas Intemporais,9.0,15
1028,Sardinha 1944 (Timeless),Sardinhas Intemporais,9.0,15
1029,Sardinha 1945 (Timeless),Sardinhas Intemporais,9.0,15
1030,Sardinha 1946 (Timeless),Sardinhas Intemporais,9.0,15
1031,Sardinha 1947 (Timeless),Sardinhas Intemporais,9.0,15
1032,Sardinha 1948 (Timeless),Sardinhas Intemporais,9.0,15
1033,Sardinha 1949 (Timeless),Sardinhas Intemporais,9.0,15
1034,Sardinha 1950 (Timeless),Sardinhas Intemporais,9.0,15
1035,Sardinha 1951 (Timeless),Sardinhas Intemporais,9.0,15
1036,Sardinha 1952 (Timeless),Sardinhas Intemporais,9.0,15
1037,Sardinha 1953 (Timeless),Sardinhas Intemporais,9.0,15
1038,Sardinha 1954 (Timeless),Sardinhas Intemporais,9.0,15
1039,Sardinha 1955 (Timeless),Sardinhas Intemporais,9.0,15
1040,Sardinha 1956 (Timeless),Sardinhas Intemporais,9.0,15
1041,Sardinha 1957 (Timeless),Sardinhas Intemporais,9.0,15
1042,Sardinha 1958 (Timeless),Sardinhas Intemporais,9.0,15
1043,Sardinha 1959 (Timeless),Sardinhas Intemporais,9.0,15
1044,Sardinha 1960 (Timeless),Sardinhas Intemporais,9.0,15
1045,Sardinha 1961 (Timeless),Sardinhas Intemporais,9.0,15
1046,Sardinha 1962 (Timeless),Sardinhas Intemporais,9.0,15
1047,Sardinha 1963 (Timeless),Sardinhas Intemporais,9.0,15
1048,Sardinha 1964 (Timeless),Sardinhas Intemporais,9.0,15
1049,Sardinha 1965 (Timeless),Sardinhas Intemporais,9.0,15
1050,Sardinha 1966 (Timeless),Sardinhas Intemporais,9.0,15
1051,Sardinha 1967 (Timeless),Sardinhas Intemporais,9.0,15
1052,Sardinha 1968 (Timeless),Sardinhas Intemporais,9.0,15
1053,Sardinha 1969 (Timeless),Sardinhas Intemporais,9.0,15
1054,Sardinha 1970 (Timeless),Sardinhas Intemporais,9.0,15
1055,Sardinha 1971 (Timeless),Sardinhas Intemporais,9.0,15
1056,Sardinha 1972 (Timeless),Sardinhas Intemporais,9.0,15
1057,Sardinha 1973 (Timeless),Sardinhas Intemporais,9.0,15
1058,Sardinha 1974 (Timeless),Sardinhas Intemporais,9.0,15
1059,Sardinha 1975 (Timeless),Sardinhas Intemporais,9.0,15
1060,Sardinha 1976 (Timeless),Sardinhas Intemporais,9.0,15
1061,Sardinha 1977 (Timeless),Sardinhas Intemporais,9.0,15
1062,Sardinha 1978 (Timeless),Sardinhas Intemporais,9.0,15
1063,Sardinha 1979 (Timeless),Sardinhas Intemporais,9.0,15
1064,Sardinha 1980 (Timeless),Sardinhas Intemporais,9.0,15
1065,Sardinha 1981 (Timeless),Sardinhas Intemporais,9.0,15
1066,Sardinha 1982 (Timeless),Sardinhas Intemporais,9.0,15
1067,Sardinha 1983 (Timeless),Sardinhas Intemporais,9.0,15
1068,Sardinha 1984 (Timeless),Sardinhas Intemporais,9.0,15
1069,Sardinha 1985 (Timeless),Sardinhas Intemporais,9.0,15
1070,Sardinha 1986 (Timeless),Sardinhas Intemporais,9.0,15
1071,Sardinha 1987 (Timeless),Sardinhas Intemporais,9.0,15
1072,Sardinha 1988 (Timeless),Sardinhas Intemporais,9.0,15
1073,Sardinha 1989 (Timeless),Sardinhas Intemporais,9.0,15
1074,Sardinha 1990 (Timeless),Sardinhas Intemporais,9.0,15
1075,Sardinha 1991 (Timeless),Sardinhas Intemporais,9.0,15
1076,Sardinha 1992 (Timeless),Sardinhas Intemporais,9.0,15
1077,Sardinha 1993 (Timeless),Sardinhas Intemporais,9.0,15
1078,Sardinha 1994 (Timeless),Sardinhas Intemporais,9.0,15
1079,Sardinha 1995 (Timeless),Sardinhas Intemporais,9.0,15
1080,Sardinha 1996 (Timeless),Sardinhas Intemporais,9.0,15
1081,Sardinha 1997 (Timeless),Sardinhas Intemporais,9.0,15
1082,Sardinha 1998 (Timeless),Sardinhas Intemporais,9.0,15
1083,Sardinha 1999 (Timeless),Sardinhas Intemporais,9.0,15
1084,Sardinha 2000 (Timeless),Sardinhas Intemporais,9.0,15
1085,Sardinha 2001 (Timeless),Sardinhas Intemporais,9.0,15
1086,Sardinha 2002 (Timeless),Sardinhas Intemporais,9.0,15
1087,Sardinha 2003 (Timeless),Sardinhas Intemporais,9.0,15
1088,Sardinha 2004 (Timeless),Sardinhas Intemporais,9.0,15
1089,Sardinha 2005 (Timeless),Sardinhas Intemporais,9.0,15
1090,Sardinha 2006 (Timeless),Sardinhas Intemporais,9.0,15
1091,Sardinha 2007 (Timeless),Sardinhas Intemporais,9.0,15
1092,Sardinha 2008 (Timeless),Sardinhas Intemporais,9.0,15
1093,Sardinha 2009 (Timeless),Sardinhas Intemporais,9.0,15
1094,Sardinha 2010 (Timeless),Sardinhas Intemporais,9.0,15
1095,Sardinha 2011 (Timeless),Sardinhas Intemporais,9.0,15
1096,Sardinha 2012 (Timeless),Sardinhas Intemporais,9.0,15
1097,Sardinha 2013 (Timeless),Sardinhas Intemporais,9.0,15
1098,Sardinha 2014 (Timeless),Sardinhas Intemporais,9.0,15
1099,Sardinha 2015 (Timeless),Sardinhas Intemporais,9.0,15
1100,Sardinha 2016 (Timeless),Sardinhas Intemporais,9.0,15
1101,Sardinha 2017 (Timeless),Sardinhas Intemporais,9.0,15
1102,Sardinha 2018 (Timeless),Sardinhas Intemporais,9.0,15
1103,Sardinha 2019 (Timeless),Sardinhas Intemporais,9.0,15
1104,Sardinha 2020 (Timeless),Sardinhas Intemporais,9.0,15
1105,Sardinha 2021 (Timeless),Sardinhas Intemporais,9.0,15
1106,Sardinha 2022 (Timeless),Sardinhas Intemporais,9.0,15
1107,Sardinha 2023 (Timeless),Sardinhas Intemporais,9.0,15
1108,Sardinha 2024 (Timeless),Sardinhas Intemporais,9.0,15
1109,Sardinha 2025 (Timeless),Sardinhas Intemporais,9.0,15
1110,Sardinha 2026 (Timeless),Sardinhas Intemporais,9.0,15
1111,Sardinha s/ pele e espinha em Azeite Virgem,Sardinhas,15.0,30
1112,Petinga,Sardinhas,7.9,30
1113,Sardinhas com Pimentos,Sardinhas,9.8,30
1114,Sardinhas Fumadas Picantes,Sardinhas,9.8,30
1115,Sardinhas com Limao,Sardinhas,9.8,30
1116,Sardinhas em Molho de Tomate,Sardinhas,9.8,30
1117,Sardinhas com Mostarda,Sardinhas,11.4,15
1118,Sardinha com Ketchup,Sardinhas,10.0,15
1119,Sardinha com Algas em Azeite Virgem Extra,Sardinhas,12.8,15
1120,Millesime,Sardinhas,43.3,15
1121,Lingote,Sardinhas,22.0,30
1122,Sardinha ao Natural,Sardinhas,7.0,30
1123,Anchovas,Sardinhas,9.6,20
1124,Sardinha c/ Azeitonas Recheadas | Lisboa,Sardinha Azeitonas (Cidades),13.0,15
1125,Sardinha c/ Azeitonas Recheadas | Porto,Sardinha Azeitonas (Cidades),13.0,15
1126,Sardinha c/ Azeitonas Recheadas | Sintra,Sardinha Azeitonas (Cidades),13.0,15
1127,Sardinha c/ Azeitonas Recheadas | Cascais,Sardinha Azeitonas (Cidades),13.0,15
1128,Sardinha c/ Azeitonas Recheadas | Obidos,Sardinha Azeitonas (Cidades),13.0,15
1129,Sardinha c/ Azeitonas Recheadas | Evora,Sardinha Azeitonas (Cidades),13.0,15
1130,Sardinha c/ Azeitonas Recheadas | Coimbra,Sardinha Azeitonas (Cidades),13.0,15
1131,Sardinha c/ Azeitonas Recheadas | Aveiro,Sardinha Azeitonas (Cidades),13.0,15
1132,Sardinha c/ Azeitonas Recheadas | Algarve,Sardinha Azeitonas (Cidades),13.0,15
1133,Sardinha c/ Azeitonas Recheadas | Madeira,Sardinha Azeitonas (Cidades),13.0,15
1134,Sardinha c/ Azeitonas Recheadas | Acores,Sardinha Azeitonas (Cidades),13.0,15
1135,Carapau em Azeite Virgem Extra,Outros Peixes e Mariscos,6.0,30
1136,Mexilhoes Fumados em Azeite,Outros Peixes e Mariscos,7.8,30
1137,Atum em Azeite,Outros Peixes e Mariscos,8.9,30
1138,Filetes com Mostarda,Outros Peixes e Mariscos,11.6,30
1139,Filetes de Cavala em Azeite,Outros Peixes e Mariscos,9.3,30
1140,Truta Fumada em Azeite,Outros Peixes e Mariscos,9.7,30
1141,Lulas em Molho Guisado,Outros Peixes e Mariscos,9.8,30
1142,Agulha Picante em Escabeche,Outros Peixes e Mariscos,10.6,30
1143,Agulha Picante em Azeite Virgem Extra,Outros Peixes e Mariscos,10.2,30
1144,Buzios ao Natural,Outros Peixes e Mariscos,10.3,30
1145,Bacalhau em Azeite,Outros Peixes e Mariscos,12.5,30
1146,Ovas de Bacalhau Fumadas com Legumes,Outros Peixes e Mariscos,12.3,30
1147,Choquinhos,Outros Peixes e Mariscos,14.2,15
1148,Peixe-Espada em Azeite Virgem Extra,Outros Peixes e Mariscos,13.7,30
1149,Salmao Fumado em Azeite,Outros Peixes e Mariscos,14.8,30
1150,Dourada em Azeite Virgem Extra,Outros Peixes e Mariscos,15.2,30
1151,Robalo em Azeite Virgem Extra,Outros Peixes e Mariscos,15.3,30
1152,Polvo em Azeite Virgem Extra,Outros Peixes e Mariscos,15.8,30
1153,Camarao a Scampi (Gambas),Outros Peixes e Mariscos,18.0,30
1154,Corvina em Azeite Virgem Extra,Outros Peixes e Mariscos,18.0,30
1155,Linguado Fumado em Azeite,Outros Peixes e Mariscos,24.7,30
1156,Enguias de Escabeche,Outros Peixes e Mariscos,28.0,30
1157,Filetes de Enguia Fumada em Azeite,Outros Peixes e Mariscos,34.4,30
1158,Caranguejo Real,Outros Peixes e Mariscos,84.3,15
1159,Lagosta Picante com Algas em Azeite V.E.,Outros Peixes e Mariscos,46.4,15
1160,Ovas de Cavala,Outros Peixes e Mariscos,26.6,15
1161,Ovas de Sardinha,Outros Peixes e Mariscos,47.6,15
1162,Pate de Cavala,Pates,8.3,30
1163,Pate de Sardinha,Pates,8.8,30
1164,Pate de Sardinha com Mostarda,Pates,9.4,30
1165,Pate de Sardinha com Limao,Pates,9.6,30
1166,Pate de Bacalhau,Pates,9.8,30
1167,Pate de Enguias de Escabeche,Pates,10.8,30
